trial,start_frame,end_frame,is_swapped
2024.11.05_02-10-55_Yakuba7_e2hex,3,975,True
2024.11.05_02-10-55_Yakuba7_e2hex,2571,2617,True
2024.11.05_02-10-55_Yakuba7_e2hex,3419,4067,True
2024.11.05_02-10-55_Yakuba7_e2hex,4069,4980,True
2024.11.05_02-10-55_Yakuba7_e2hex,4983,5011,True
2024.11.05_02-10-55_Yakuba7_e2hex,5142,5142,True
2024.11.05_02-10-55_Yakuba7_e2hex,5144,5144,True
2024.11.05_02-10-55_Yakuba7_e2hex,5173,5173,True
2024.11.05_02-10-55_Yakuba7_e2hex,5176,5177,True
2024.11.05_02-10-55_Yakuba7_e2hex,5179,5819,True
2024.11.05_02-10-55_Yakuba7_e2hex,7490,7596,True
2024.11.05_02-10-55_Yakuba7_e2hex,7610,8999,True
2024.10.23_07-57-44_Biarmipes84_prenac,702,765,True
2024.10.23_07-57-44_Biarmipes84_prenac,2368,2368,True
2024.10.23_07-57-44_Biarmipes84_prenac,2372,2387,True
2024.10.23_07-57-44_Biarmipes84_prenac,2389,2390,True
2024.10.23_07-57-44_Biarmipes84_prenac,2394,2410,True
2024.10.23_07-57-44_Biarmipes84_prenac,2413,2422,True
2024.10.23_07-57-44_Biarmipes84_prenac,2424,2434,True
2024.10.23_07-57-44_Biarmipes84_prenac,2437,2437,True
2024.10.23_07-57-44_Biarmipes84_prenac,2439,2442,True
2024.10.23_07-57-44_Biarmipes84_prenac,2444,2467,True
2024.10.23_07-57-44_Biarmipes84_prenac,2469,2510,True
2024.10.23_07-57-44_Biarmipes84_prenac,2512,2547,True
2024.10.23_07-57-44_Biarmipes84_prenac,2549,2554,True
2024.10.23_07-57-44_Biarmipes84_prenac,2556,2572,True
2024.10.23_07-57-44_Biarmipes84_prenac,2574,2575,True
2024.10.23_07-57-44_Biarmipes84_prenac,2578,2581,True
2024.10.23_07-57-44_Biarmipes84_prenac,2583,2587,True
2024.10.23_07-57-44_Biarmipes84_prenac,2591,2592,True
2024.10.23_07-57-44_Biarmipes84_prenac,2633,2637,True
2024.10.23_07-57-44_Biarmipes84_prenac,2639,2646,True
2024.10.23_07-57-44_Biarmipes84_prenac,2653,2653,True
2024.10.23_07-57-44_Biarmipes84_prenac,2655,2655,True
2024.10.23_07-57-44_Biarmipes84_prenac,2661,2667,True
2024.10.23_07-57-44_Biarmipes84_prenac,2674,2674,True
2024.10.23_07-57-44_Biarmipes84_prenac,2676,2686,True
2024.10.23_07-57-44_Biarmipes84_prenac,2688,2690,True
2024.10.23_07-57-44_Biarmipes84_prenac,2692,2694,True
2024.10.23_07-57-44_Biarmipes84_prenac,2696,2696,True
2024.10.23_07-57-44_Biarmipes84_prenac,2700,2700,True
2024.10.23_07-57-44_Biarmipes84_prenac,2702,2703,True
2024.10.23_07-57-44_Biarmipes84_prenac,2706,2707,True
2024.10.23_07-57-44_Biarmipes84_prenac,2709,2714,True
2024.10.23_07-57-44_Biarmipes84_prenac,2719,2719,True
2024.10.23_07-57-44_Biarmipes84_prenac,2721,2730,True
2024.10.23_07-57-44_Biarmipes84_prenac,2735,2738,True
2024.10.23_07-57-44_Biarmipes84_prenac,2740,2740,True
2024.10.23_07-57-44_Biarmipes84_prenac,2742,2743,True
2024.10.23_07-57-44_Biarmipes84_prenac,2745,2747,True
2024.10.23_07-57-44_Biarmipes84_prenac,2750,2753,True
2024.10.23_07-57-44_Biarmipes84_prenac,2757,2758,True
2024.10.23_07-57-44_Biarmipes84_prenac,2762,2762,True
2024.10.23_07-57-44_Biarmipes84_prenac,2764,2764,True
2024.10.23_07-57-44_Biarmipes84_prenac,2767,2767,True
2024.10.23_07-57-44_Biarmipes84_prenac,2769,2772,True
2024.10.23_07-57-44_Biarmipes84_prenac,2774,2775,True
2024.10.23_07-57-44_Biarmipes84_prenac,2777,2777,True
2024.10.23_07-57-44_Biarmipes84_prenac,2782,2782,True
2024.10.23_07-57-44_Biarmipes84_prenac,2785,2785,True
2024.10.23_07-57-44_Biarmipes84_prenac,2792,2792,True
2024.10.23_07-57-44_Biarmipes84_prenac,2797,2800,True
2024.10.23_07-57-44_Biarmipes84_prenac,2802,2803,True
2024.10.23_07-57-44_Biarmipes84_prenac,2805,2806,True
2024.10.23_07-57-44_Biarmipes84_prenac,2810,2817,True
2024.10.23_07-57-44_Biarmipes84_prenac,2820,2820,True
2024.10.23_07-57-44_Biarmipes84_prenac,2822,2824,True
2024.10.23_07-57-44_Biarmipes84_prenac,2826,2826,True
2024.10.23_07-57-44_Biarmipes84_prenac,2829,2830,True
2024.10.23_07-57-44_Biarmipes84_prenac,2832,2833,True
2024.10.23_07-57-44_Biarmipes84_prenac,2835,2835,True
2024.10.23_07-57-44_Biarmipes84_prenac,2837,2838,True
2024.10.23_07-57-44_Biarmipes84_prenac,2840,2841,True
2024.10.23_07-57-44_Biarmipes84_prenac,2843,2844,True
2024.10.23_07-57-44_Biarmipes84_prenac,2846,2847,True
2024.10.23_07-57-44_Biarmipes84_prenac,2849,2850,True
2024.10.23_07-57-44_Biarmipes84_prenac,2852,2861,True
2024.10.23_07-57-44_Biarmipes84_prenac,2863,3060,True
2024.10.23_07-57-44_Biarmipes84_prenac,3115,3117,True
2024.10.23_07-57-44_Biarmipes84_prenac,3120,3120,True
2024.10.23_07-57-44_Biarmipes84_prenac,3123,3132,True
2024.10.23_07-57-44_Biarmipes84_prenac,3137,3137,True
2024.10.23_07-57-44_Biarmipes84_prenac,3145,3829,True
2024.10.23_07-57-44_Biarmipes84_prenac,3831,5465,True
2024.10.23_07-57-44_Biarmipes84_prenac,6302,6312,True
2024.10.23_07-57-44_Biarmipes84_prenac,6398,6399,True
2024.10.23_07-57-44_Biarmipes84_prenac,6401,6426,True
2024.10.23_07-57-44_Biarmipes84_prenac,6471,6471,True
2024.10.23_07-57-44_Biarmipes84_prenac,6495,6499,True
2024.10.23_07-57-44_Biarmipes84_prenac,6528,6548,True
2024.10.23_07-57-44_Biarmipes84_prenac,6561,7121,True
2024.10.23_07-57-44_Biarmipes84_prenac,8023,8031,True
2024.10.23_07-57-44_Biarmipes84_prenac,8067,8990,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,3,586,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,1335,1335,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,1339,1356,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,1382,1382,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,1384,1390,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,1418,1428,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,1961,1971,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,2396,3276,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,3306,3351,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,3353,3353,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,3356,3382,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,3478,3478,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,4736,5608,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,6183,6741,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,7333,7897,True
2024.10.11_12-42-50_Yakuba_Cameroon_2hexanol,8431,8999,True
2024.11.01_08-05-24_Yakuba7_e2hex,3,1519,True
2024.11.01_08-05-24_Yakuba7_e2hex,1767,2499,True
2024.11.01_08-05-24_Yakuba7_e2hex,5396,5396,True
2024.11.01_08-05-24_Yakuba7_e2hex,5402,5402,True
2024.11.01_08-05-24_Yakuba7_e2hex,5410,5410,True
2024.11.01_08-05-24_Yakuba7_e2hex,5413,5413,True
2024.11.01_08-05-24_Yakuba7_e2hex,5415,5416,True
2024.11.01_08-05-24_Yakuba7_e2hex,5423,5425,True
2024.11.01_08-05-24_Yakuba7_e2hex,5427,5427,True
2024.11.01_08-05-24_Yakuba7_e2hex,5434,5434,True
2024.11.01_08-05-24_Yakuba7_e2hex,5437,5439,True
2024.11.01_08-05-24_Yakuba7_e2hex,5450,5450,True
2024.11.01_08-05-24_Yakuba7_e2hex,5452,5452,True
2024.11.01_08-05-24_Yakuba7_e2hex,5462,5464,True
2024.11.01_08-05-24_Yakuba7_e2hex,5467,5467,True
2024.11.01_08-05-24_Yakuba7_e2hex,5476,5476,True
2024.11.01_08-05-24_Yakuba7_e2hex,5479,5479,True
2024.11.01_08-05-24_Yakuba7_e2hex,5481,5483,True
2024.11.01_08-05-24_Yakuba7_e2hex,5488,5488,True
2024.11.01_08-05-24_Yakuba7_e2hex,5492,5493,True
2024.11.01_08-05-24_Yakuba7_e2hex,5497,5497,True
2024.11.01_08-05-24_Yakuba7_e2hex,5499,5499,True
2024.11.01_08-05-24_Yakuba7_e2hex,5512,5514,True
2024.11.01_08-05-24_Yakuba7_e2hex,5518,5519,True
2024.11.01_08-05-24_Yakuba7_e2hex,5523,5523,True
2024.11.01_08-05-24_Yakuba7_e2hex,5533,5533,True
2024.11.01_08-05-24_Yakuba7_e2hex,5538,5540,True
2024.11.01_08-05-24_Yakuba7_e2hex,5544,5544,True
2024.11.01_08-05-24_Yakuba7_e2hex,5549,5549,True
2024.11.01_08-05-24_Yakuba7_e2hex,5551,5552,True
2024.11.01_08-05-24_Yakuba7_e2hex,5554,5554,True
